"id","city","longitude","latitude"
"1105409","Bampur","73.45000000","23.46666700"
"1105471","Bandar","71.78333300","21.05000000"
"1105495","Bandia","69.00000000","23.40000000"
"1105661","Bansda","73.36666700","20.75000000"
"1105699","Bantva","70.06888900","21.48638900"
"1105701","Bantwa","70.06888900","21.48638900"
"1105713","Baola","72.35000000","22.81666700"
"1105714","Baoli","71.40000000","22.93333300"
"1105719","Baori","73.45000000","20.81666700"
"1105771","Barada","69.01444400","22.19972200"
"1105907","Bardoli","73.11666700","21.11666700"
"1105909","Bardoti","73.11666700","21.11666700"
"1105919","Bareja","72.58333300","22.85000000"
"1105981","Baria","73.90000000","22.70000000"
"1106002","Bariya","73.90000000","22.70000000"
"1106061","Baroach","72.96666700","21.70000000"
"1106062","Baroda","73.20000000","22.30000000"
"1106072","Barodra","73.01666700","23.31666700"
"1106093","Barpatoli","71.38333300","20.98333300"
"1106150","Barvala","71.88333300","22.15000000"
"1106262","Basu","72.31666700","24.06666700"
"1106349","Batwa","72.61666700","22.95000000"
"1106359","Baunagar","72.15000000","21.76666700"
"1106376","Bavliari","72.11666700","22.08333300"
"1106394","Bayad","73.21666700","23.21666700"
"1106418","Bebar","69.45000000","23.45000000"
"1106428","Bed","69.90000000","22.43333300"
"1106431","Bedi","70.05000000","22.50000000"
"1106430","Bedi Bandar","70.05000000","22.50000000"
"1106438","Beerwarah","68.96305600","22.28944400"
"1106461","Beh","69.46666700","22.28333300"
"1106462","Behera","73.28333300","20.95000000"
"1106488","Bela","70.53333300","22.85000000"
"1106486","Bela-Amran","70.53333300","22.85000000"
"1106611","Benap","71.41666700","24.15000000"
"1106643","Ber","68.56666700","23.45000000"
"1106668","Ber Mota","68.56666700","23.45000000"
"1106639","Beraja","69.95000000","22.25000000"
"1106640","Berajia","69.95000000","22.25000000"
"1106693","Bet","69.10000000","22.45000000"
"1106730","Bhabar","71.59805600","24.06833300"
"1106731","Bhabbar","71.59805600","24.06833300"
"1106732","Bhabhar","71.59805600","24.06833300"
"1106733","Bhabhot","72.88333300","21.68333300"
"1106740","Bhachau","70.35000000","23.28333300"
"1106760","Bhad","69.85000000","21.51666700"
"1106749","Bhadarva","73.13333300","22.51666700"
"1106751","Bhadarwa","73.13333300","22.51666700"
"1106769","Bhadhot","72.88333300","21.68333300"
"1106770","Bhadia","69.48333300","22.83333300"
"1106771","Bhadia Nana","69.48333300","22.83333300"
"1106775","Bhadkad","72.75000000","22.61666700"
"1106777","Bhadla","71.10000000","22.18333300"
"1106778","Bhadli","71.43333300","22.01666700"
"1106782","Bhadra","68.93333300","23.45000000"
"1106792","Bhadran","72.90000000","22.36666700"
"1106795","Bhadresar","69.90000000","22.91666700"
"1106796","Bhadreswar","69.90000000","22.91666700"
"1106798","Bhadrod","71.80000000","21.13333300"
"1106802","Bhadthar","69.56666700","22.08333300"
"1106808","Bhadva","70.90000000","22.10000000"
"1106836","Bhagva","72.65000000","21.36666700"
"1106838","Bhagwa","72.65000000","21.36666700"
"1106852","Bhaika","71.88333300","22.50000000"
"1106907","Bhakodar","71.46666700","20.90000000"
"1106914","Bhalala","71.88333300","22.85000000"
"1106932","Bhalod","73.18333300","21.81666700"
"1106935","Bhalsan","70.16666700","22.31666700"
"1106936","Bhalsan Great","70.16666700","22.31666700"
"1106937","Bhalsan Mota","70.16666700","22.31666700"
"1106956","Bhanadra","73.63333300","21.86666700"
"1106967","Bhandaria","72.13333300","21.58333300"
"1106972","Bhandariya","72.13333300","21.58333300"
"1106981","Bhandu","72.36666700","23.70000000"
"1106983","Bhanduri","70.28333300","21.10000000"
"1106994","Bhangor","69.86666700","22.10000000"
"1107015","Bhanvad","69.77361100","21.92638900"
"1107019","Bhanwar","69.77361100","21.92638900"
"1107034","Bharapor","69.63333300","23.13333300"
